sourcedId,orgSourcedIds,givenName,familyName,username,password,role,grade
13001,10001,Ora,Klein,Oklein@classrmtest31.org,P@ssword123,Student,6
13002,10001,Beulah,McMillan,BMcMillan@classrmtest31.org,P@ssword123,Student,6
13003,10001,Florence,Stark,FStark@classrmtest31.org,P@ssword123,Student,6
13004,10001,Noah,Gilbertson,NGilbertson@classrmtest31.org,P@ssword123,Student,6
13005,10001,Erna,Parker,EParker@classrmtest31.org,P@ssword123,Student,6
13006,10001,Sherry,Santana,SSantana@classrmtest31.org,P@ssword123,Student,6
13007,10001,Ronald,Lees,RLees@classrmtest31.org,P@ssword123,Student,9
13008,10002,Latasha,Pratt,LPratt@classrmtest31.org,P@ssword123,Student,9
13009,10002,Misty,Thomas,MThomas@classrmtest31.org,P@ssword123,Student,9
13010,10002,Petra,Barlow,PBarlow@classrmtest31.org,P@ssword123,Student,9
13011,10002,Bonnie,Hampton,PHampton@classrmtest31.org,P@ssword123,Student,9
13012,10002,Dion,Matheson,DMatheson@classrmtest31.org,P@ssword123,Student,9
13013,10002,Cesar,McCray,CMcCray@classrmtest31.org,P@ssword123,Student,9
13014,10002,Rickey,Cottle,Rcottle@classrmtest31.org,P@ssword123,Student,9
13015,10003,Fredrick,Markley,Fmarkley@classrmtest31.org,P@ssword123,Student,PS1
13016,10003,Joshua,Bartels,Jbartels@classrmtest31.org,P@ssword123,Student,PS1
13017,10003,Maribel,Parsons,Mparsons@classrmtest31.org,P@ssword123,Student,PS1
13018,10003,Erma,Ballard,Eballard@classrmtest31.org,P@ssword123,Student,PS2
13019,10003,Wilfred,Bevins,Wbevins@classrmtest31.org,P@ssword123,Student,undergraduate
13020,10003,Rogelio,Cazares,Rcazares@classrmtest31.org,P@ssword123,Student,postgraduate
13021,10003,Dixie,Morrison,Dmorrison@classrmtest31.org,P@ssword123,Student,PS3
13022,10003,Williams,Bisson,Wbisson@classrmtest31.org,P@ssword123,Student,PS3
14001,10001,Craig,Beane,Cbeane@classrmtest31.org,P@ssword123,teacher,6
14002,10002,Daisy,Todd,Dtodd@classrmtest31.org,P@ssword123,teacher,9
14008,10002,Hope,Todd,Htodd@classrmtest31.org,P@ssword123,staff,6
14009,10002,Edna,Doyle,EDoyle@classrmtest31.org,P@ssword123,faculty,6
14010,10002,Shawna,Roy,SRoy@classrmtest31.org,P@ssword123,aide,9
14011,10003,Tammie,Benton,TBenton@classrmtest31.org,P@ssword123,Professor,PS1
14012,10003,Susana,Rocha,SRocha@classrmtest31.org,P@ssword123,Lecturer,PS3
