SIS ID,School SIS ID,First Name,Last Name,Username,Password,State ID,Teacher Number,Status,Middle Name,Secondary Email,Title,Qualification
14001,10001,Jessica,Taylor,Jtaylor,P@ssw0rd,WA,101,Active,James,,,
14002,10001,Jake,Anderson,Janderson,P@ssw0rd,WA,102,Active,Francis,,,
14003,10001,Beverly,Thomas,Bthomas,P@ssw0rd,WA,103,Active,Lynn,,,
14004,10002,Rick,White,Rwhite,P@ssw0rd,WA,104,Active,Brandon,,,
14005,10002,James,Harris,Jharris,P@ssw0rd,WA,105,Active,Robert,,,
14006,10002,George,Martin,Gmartin,P@ssw0rd,WA,106,Active,Timothy,,,
14007,10001,Amy,Roebuck,Aroebuck,P@ssword,WA,107,Active,Lynn,,,
14008,10002,Harry,James,Hjames,P@ssword,WA,108,Active,Christopher,,,
14009,10001,Bill,Sluss,Billsluss,P@ssword,WA,109,Active,Bradley,,,
14010,10001,John,Jacob,Jjacob,P@ssword,WA,110,Active,Brandon,,,
14011,10001,Jim,Jeffs,Jjeffs,P@ssword,WA,111,Active,Robert,,,
14012,10001,Sara,Moore,Smoore,P@ssword,WA,112,Active,Lynn,,,
