ID,School Dfe Number,First Name,Last Name,Username,Password,State ID,Teacher Number,Status,Middle Name,Secondary Email,Title,Qualification
14001,10001,Craig,Beane,CBeane,P@ssw0rd,WA,101,Active,James,,,
14002,10001,Daisy,Todd,DTodd,P@ssw0rd,WA,102,Active,Francis,,,
14003,10001,Dana,Mills,DMills,P@ssw0rd,WA,103,Active,Lynn,,,
14004,10001,Rocky,Jaime,RJaime,P@ssw0rd,WA,104,Active,Brandon,,,
14005,10001,Dolly,Wyatt,DWyatt,P@ssw0rd,WA,105,Active,Robert,,,
14006,10001,Kristie,Mitchell,KMitchell,P@ssw0rd,WA,106,Active,Timothy,,,
14007,10001,Felicia,Flowers,FFlowers,P@ssword,WA,107,Active,Lynn,,,
14008,10002,Hope,Todd,HTodd,P@ssword,WA,108,Active,Christopher,,,
14009,10002,Edna,Doyle,EDoyle,P@ssword,WA,109,Active,Bradley,,,
14010,10002,Shawna,Roy,SRoy,P@ssword,WA,110,Active,Brandon,,,
14011,10002,Tammie,Benton,TBenton,P@ssword,WA,111,Active,Robert,,,
14012,10002,Susana,Rocha,SRocha,P@ssword,WA,112,Active,Lynn,,,
